Time,Sensor1,Sensor2,Sensor3,Sensor4,Latitude,Longitude
0,63,85,73,10,40.43331545008971,49.77580046185003
1,45,54,36,91,40.39826769500726,49.88421455554337
2,26,91,37,75,40.39710267195141,49.80542043120661
3,90,78,26,8,40.299950432916376,49.79467487250395
4,20,74,40,0,40.43943537300208,49.820378166967025
5,17,21,19,45,40.35102782944752,49.92155503911703
6,30,56,91,82,40.31125777335629,49.822742251219616
7,58,44,54,95,40.41220207979284,49.826349936591136
8,26,11,98,75,40.380537518218965,49.86745605278485
9,32,8,56,7,40.432383990653996,49.91819155637528
10,15,65,99,33,40.38602930589044,49.91539427580278
11,57,52,88,40,40.36482071927693,49.85124420373143
12,91,79,77,18,40.412621251783435,49.91791795688104
13,42,11,49,86,40.40039431748177,49.87786156888466
14,42,62,96,69,40.44520544655237,49.89439760071071
15,59,42,64,59,40.39709817085163,49.81575154316659
16,55,73,20,76,40.314170102630854,49.881272803222565
17,37,55,37,82,40.465377554768175,49.79308312006236
18,48,99,86,80,40.432140954422046,49.76043027394544
19,10,79,3,30,40.466090930600856,49.92785253163015
20,84,50,46,44,40.37804496815568,49.80144007436295
21,3,49,56,11,40.343668896613536,49.80895854472009
22,6,87,29,31,40.30976460991541,49.79769771140474
23,97,28,26,98,40.35161797249448,49.876319715866885
24,13,67,78,14,40.380596316883945,49.940777467734165
25,83,10,47,77,40.33083679775473,49.74599913726878
26,73,47,57,86,40.39742213730674,49.860310206920765
27,78,92,91,43,40.47328251985053,49.79368510883924
28,74,13,74,7,40.289948737119914,49.758456721841966
29,34,84,61,26,40.44434560566281,49.89600890317923
30,49,82,8,72,40.36056336298071,49.888555471922636
31,89,16,28,25,40.34686146664792,49.93406364651217
32,27,70,46,86,40.353301640321625,49.76678133571718
33,30,75,72,0,40.38800773364396,49.88712115225523
34,81,73,5,7,40.31811735744681,49.863659959740346
35,61,21,94,18,40.45740623639695,49.88692633285307
36,31,79,53,99,40.45308978863433,49.89903989976007
37,46,95,86,67,40.340569116829506,49.864081645337144
38,36,85,59,35,40.38239931585421,49.859632700510424
39,28,3,5,47,40.37639879251331,49.79791685209243
40,51,12,67,8,40.47184747768835,49.87248886712862
41,35,73,5,64,40.42077175329069,49.87987211408705
42,27,92,59,9,40.39639293845064,49.90078539126987
43,49,19,60,68,40.4003066191954,49.9178053982335
44,47,78,7,41,40.45562003663978,49.880058437614075
45,47,32,64,87,40.33123701702957,49.84476781331939
46,74,15,58,8,40.48325204039154,49.78352252531321
47,87,12,94,66,40.43788032565603,49.85067343678167
48,62,16,19,42,40.41576646612972,49.794375354842614
49,94,67,55,39,40.333513525710345,49.82892295384058
50,98,61,65,25,40.472865132971464,49.87099529794874
51,54,3,85,79,40.323537729961,49.92242320977672
52,86,72,9,97,40.458996946175866,49.9176963319597
53,8,66,90,3,40.356633340779425,49.76457769165263
54,71,93,15,67,40.32032677273916,49.91921300269332
55,25,46,66,41,40.384178055954244,49.94070564694429
56,2,62,63,39,40.38548894675544,49.761345881303995
57,38,78,88,71,40.2915201680997,49.84398043952793
58,86,97,95,43,40.481159398216704,49.84320571315629
59,60,74,43,7,40.33677012783431,49.86736053428316
60,54,33,68,38,40.34492568650419,49.788252294520056
61,50,43,98,9,40.373593397842086,49.75911929154919
62,40,96,5,65,40.458129371707855,49.78183199296408
63,54,29,85,14,40.444058173509994,49.774462613335395
64,34,2,31,73,40.390300748286464,49.902175496462256
65,43,91,67,84,40.40591167411145,49.779356250625725
66,9,56,16,31,40.38450102787245,49.86982535894061
67,88,77,74,64,40.30572911384925,49.90506739838084
68,94,38,7,87,40.419332509144155,49.91722056553303
69,12,84,90,78,40.42519978387629,49.91305805703073
70,12,45,28,84,40.358572495725795,49.77567327714801
71,69,91,66,26,40.31238495341987,49.909750425036336
72,41,99,77,0,40.44333220679061,49.89123064231779
73,44,44,21,76,40.46310258101113,49.849317339263074
74,50,79,69,71,40.29433693927764,49.913922421473096
75,50,30,66,96,40.43966419900953,49.780033748793485
76,45,60,16,66,40.37336938807417,49.856652972965755
77,23,90,50,36,40.30500970372868,49.825857842064934
78,98,14,54,15,40.30311309224836,49.890503946051815
79,76,43,25,78,40.309855842547655,49.84979336972248
80,63,20,30,67,40.3635784170361,49.93247186133338
81,20,65,55,84,40.35379518044555,49.87565656090443
82,61,78,43,67,40.47098875740868,49.789672541450415
83,70,30,70,59,40.38873479111979,49.88943190266519
84,20,2,63,88,40.40144991762784,49.850802248027286
85,98,88,11,99,40.31853192233195,49.93785556257487
86,69,0,52,46,40.346921058063806,49.761153003543654
87,88,80,95,86,40.36654485514939,49.76617217406433
88,80,92,65,78,40.48495075569636,49.781737706754576
89,79,46,85,20,40.41796661775883,49.822882548741056
90,47,76,76,49,40.29332851889609,49.814112232412874
91,59,64,43,5,40.418706184201056,49.890681257962676
92,70,11,55,33,40.413720133434,49.939323024633424
93,62,33,37,74,40.40944903396378,49.87030580967255
94,79,21,15,51,40.465427294037205,49.81953693691189
95,16,76,9,20,40.458098923340565,49.75037231889382
96,8,80,60,37,40.422447404727954,49.83821787963035
97,48,88,12,91,40.38837311046559,49.926155476018124
98,54,16,93,8,40.476754921091675,49.90760612652461
99,23,78,37,54,40.405643562534515,49.878903363974906
